band_gap,density,nsites,formation_energy_per_atom,y_true,mid,formula,group
1.910885061964363,5.598408181413324,18,-0.3222809856650932,0.7967276576104603,mp-0,LaNiO0,hi_gap
0.8093601412916109,4.937538578638924,5,-0.998894198713311,1.6345042967009504,mp-1,LaNiO1,low_gap
0.12292057180858407,7.362633169584346,8,-1.3952724048339378,2.553815504666457,mp-2,LaNiO2,low_gap
0.04958290658558728,4.975536992284026,18,-0.9290610858791335,2.535064684054902,mp-3,LaNiO3,low_gap
2.4398107176008175,6.888439462589297,19,-0.8912143222199829,0.349911796436114,mp-4,LaNiO4,hi_gap
2.738266731833165,7.011195881898129,3,-1.3381160279874804,-0.14095874644210019,mp-5,LaNiO5,hi_gap
1.8199073273015396,8.812115465621904,4,-0.4283831866852028,1.0584659005921306,mp-6,LaNiO6,hi_gap
2.188489682951995,4.361326327649384,2,-1.944174445488325,0.07322550526411084,mp-7,LaNiO7,hi_gap
1.6308749743962685,6.499864118293092,18,-1.1067723140414933,1.0884342060288914,mp-8,LaNiO8,hi_gap
2.8052172713633046,7.720487396413241,7,-0.6674669671853772,-0.029915228440518138,mp-9,LaNiO9,hi_gap
2.4475606623645962,4.886133702373294,11,-1.6692162597384272,-0.015868918101109575,mp-10,LaNiO10,hi_gap
0.008215500510444285,5.940333658922596,19,-0.8193731256783117,2.6938805528139844,mp-11,LaNiO11,low_gap
2.572212829762708,4.3144774922748566,17,-0.3535534749030974,-0.0061204280255318586,mp-12,LaNiO12,hi_gap
0.10075672591639306,7.629404318878883,6,-0.7731643678715159,2.644867269184344,mp-13,LaNiO13,low_gap
2.1889663392898324,4.438839433797434,8,-1.8450799714884631,0.15040960694106473,mp-14,LaNiO14,hi_gap
0.526966861807677,5.975458541789838,16,-1.3640975137176243,2.0941692409995443,mp-15,LaNiO15,low_gap
2.5895367670496596,8.36761315560366,10,-0.3838482987478684,0.3088397186359195,mp-16,LaNiO16,hi_gap
1.624383660747275,6.361501683750058,5,-0.850832377467353,0.9766832698809954,mp-17,LaNiO17,hi_gap
0.8991356716121544,8.563109668204428,18,-1.0049294692449877,2.0366823482837897,mp-18,LaNiO18,low_gap
1.2680616635929753,7.829585588694362,12,-0.779399702642255,1.5569569250122353,mp-19,LaNiO19,hi_gap
0.0849590134363889,8.576619800558829,15,-0.639475524997062,2.8587554141197877,mp-20,LaNiO20,low_gap
0.37284982949869183,4.637015045244532,19,-1.3542326182989965,2.1454284131958614,mp-21,LaNiO21,low_gap
2.011873244080891,4.36781452665316,13,-1.1452000400364777,0.44038820458077726,mp-22,LaNiO22,hi_gap
1.9415685347227503,4.3516312678460904,14,-0.9285431751665902,0.5407402745451998,mp-23,LaNiO23,hi_gap
1.8461553344437616,8.344271471736597,17,-1.2719788608936629,1.0310739266405318,mp-24,LaNiO24,hi_gap
1.1510326627856502,7.170349896737216,19,-1.0667257792686273,1.6493297489612087,mp-25,LaNiO25,hi_gap
2.991629807367633,6.482858468994265,11,-0.3510641194090034,-0.26845037240910663,mp-26,LaNiO26,hi_gap
2.9425060163286902,4.817717080982401,12,-1.4839099323460279,-0.48912530146505284,mp-27,LaNiO27,hi_gap
2.056625953442084,7.368667188636368,14,-0.03666864543242965,0.81657390087831,mp-28,LaNiO28,hi_gap
1.951377828803449,5.59008693922899,19,-0.060327811309006996,0.7915980839885495,mp-29,LaNiO29,hi_gap
2.0653401917128202,7.554399316329724,10,-1.8567197189821552,0.6044277680219368,mp-30,LaNiO30,hi_gap
1.1667642719373115,6.301776644336623,17,-1.0705113325565112,1.5263622592406998,mp-31,LaNiO31,hi_gap
0.40528951506723365,6.537349302722635,7,-0.8286542151771603,2.235579993687314,mp-32,LaNiO32,low_gap
2.164465020582245,7.948328662299351,16,-1.3804355437532143,0.6523242912723687,mp-33,LaNiO33,hi_gap
1.5760629674271778,4.4637273776169035,4,-1.3705402518423644,0.7732557451502762,mp-34,LaNiO34,hi_gap
0.930725626676867,6.893792516617513,17,-1.1187078483672732,1.8167828401481567,mp-35,LaNiO35,low_gap
1.4575060764953673,4.9861747364793425,8,-0.6304109564442248,1.0580703015081445,mp-36,LaNiO36,hi_gap
2.6684635030470005,8.040683759067841,13,-1.2556669194735472,0.1400381809124289,mp-37,LaNiO37,hi_gap
2.802130547868749,6.4442301806463,4,-0.08665309418994172,-0.12637283922311324,mp-38,LaNiO38,hi_gap
1.0733855901272107,8.943476666839098,8,-0.855012998830734,1.815460776673626,mp-39,LaNiO39,hi_gap
1.7145894921892828,4.9147166233785935,3,-1.051287642041662,0.7017534059444105,mp-40,LaNiO40,hi_gap
0.9656081732278264,8.815095700621336,11,-0.27537015743427096,1.9983643810908802,mp-41,LaNiO41,low_gap
1.7829000905990904,8.004585183043044,19,-0.6868594024698238,1.1388724874582317,mp-42,LaNiO42,hi_gap
1.0137336765213998,6.4063024828763435,6,-0.815356612156213,1.6053609105506135,mp-43,LaNiO43,hi_gap
1.1748570015844837,8.067670320898177,6,-1.1655701913847625,1.575353011366858,mp-44,LaNiO44,hi_gap
2.670823056014377,7.014244526205582,15,-0.09300719305362515,0.17130067730081858,mp-45,LaNiO45,hi_gap
0.6814727806001392,7.2756053199569015,5,-0.5940892051300066,2.03667883088255,mp-46,LaNiO46,low_gap
1.8695614340581272,8.568453813536944,5,-1.1017056679723563,0.9271133804983316,mp-47,LaNiO47,hi_gap
0.2520460307471545,4.326352082056457,5,-1.788599575341352,2.0517292199243555,mp-48,LaNiO48,low_gap
2.4979324429601935,8.174941019792003,12,-0.8135242291190391,0.358209236107103,mp-49,LaNiO49,hi_gap
2.36129492246605,5.909073899831194,11,-1.571870046050795,0.1824254629119897,mp-50,LaNiO50,hi_gap
0.7181083289788565,5.627728080503522,11,-1.8579729758791603,1.7688671814835797,mp-51,LaNiO51,low_gap
2.6294526924321113,8.970133856049921,2,-1.1395757527338821,0.17360311789949268,mp-52,LaNiO52,hi_gap
0.17570410441558304,7.905952510381891,14,-0.8592644487046889,2.668964701752137,mp-53,LaNiO53,low_gap
1.0083511816369812,6.427675693897939,7,-0.3587593831584178,1.668540449436971,mp-54,LaNiO54,hi_gap
0.4508384006845172,6.113141982123906,15,-0.8587740873573756,2.2245983887921357,mp-55,LaNiO55,low_gap
1.351018099947861,8.38764452935898,16,-0.5969902364146247,1.5880473293465744,mp-56,LaNiO56,hi_gap
2.388972810861883,4.434074361074471,3,-1.6129413526115775,-0.07685951001559352,mp-57,LaNiO57,hi_gap
